                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9196,                0.99924,                 1.0038,                0.89251,                0.83315,                0.85676,                0.34841,                 1.9641,                0.93886,                 1.0168,              0.0073864,              0.0073864,              0.0073864
                     35,                  1.922,                 1.0121,                0.98944,                0.89604,                0.85033,                0.87102,                0.35871,                 1.9736,                0.90799,                 1.0185,              0.0073072,              0.0073072,              0.0073072
                     36,                 1.8972,                0.97077,                 1.0042,                 0.8952,                0.85593,                0.86139,                 0.3613,                 1.9423,                 0.9062,                 1.0125,               0.007228,               0.007228,               0.007228
                     37,                 1.9148,                0.97445,                0.99108,                0.89848,                0.84395,                0.87245,                0.36328,                 1.9393,                0.91841,                 1.0075,              0.0071488,              0.0071488,              0.0071488
                     38,                 1.9108,                 1.0021,                0.99676,                0.88521,                0.85715,                0.88126,                0.36265,                 1.9444,                0.90854,                 1.0131,              0.0070696,              0.0070696,              0.0070696
                     39,                 1.9098,                0.96751,                0.99791,                0.89018,                 0.8392,                0.84923,                0.34314,                 2.0064,                0.93832,                 1.0224,              0.0069904,              0.0069904,              0.0069904
                     40,                 1.9007,                0.95987,                0.99196,                0.86902,                0.82121,                0.83366,                0.34732,                  1.964,                0.92256,                 1.0163,              0.0069112,              0.0069112,              0.0069112
                     41,                 1.9081,                0.98754,                 1.0028,                0.90101,                0.83592,                0.86755,                0.35272,                 1.9267,                0.92266,                 1.0044,               0.006832,               0.006832,               0.006832
                     42,                 1.8839,                0.96193,                 0.9939,                0.90167,                0.84275,                0.86583,                0.35942,                 1.9471,                0.90698,                 1.0165,              0.0067528,              0.0067528,              0.0067528
                     43,                 1.8811,                0.94732,                0.99059,                0.89702,                0.85128,                0.86858,                0.35141,                 1.9851,                0.90811,                 1.0208,              0.0066736,              0.0066736,              0.0066736
                     44,                 1.8898,                0.95791,                 1.0007,                0.89023,                0.85233,                0.86465,                0.34719,                 2.0137,                0.92687,                 1.0253,              0.0065944,              0.0065944,              0.0065944
                     45,                 1.9055,                0.97875,                 1.0011,                0.91003,                0.85812,                 0.8904,                0.37215,                 1.9271,                0.90559,                 1.0013,              0.0065152,              0.0065152,              0.0065152
                     46,                 1.8805,                0.96243,                0.99848,                0.90786,                0.84623,                0.86373,                0.35594,                 1.9252,                0.89378,                 1.0043,               0.006436,               0.006436,               0.006436
                     47,                 1.8885,                0.96118,                0.99721,                0.89405,                0.84557,                0.86838,                0.35884,                 1.9494,                0.89137,                 1.0142,              0.0063568,              0.0063568,              0.0063568
                     48,                 1.8827,                0.96803,                0.99833,                0.90402,                0.84223,                 0.8847,                0.36327,                 1.9448,                0.89077,                 1.0212,              0.0062776,              0.0062776,              0.0062776
                     49,                 1.8554,                0.94453,                0.98443,                0.88969,                0.84519,                0.85324,                0.35402,                 1.9689,                0.89789,                 1.0277,              0.0061984,              0.0061984,              0.0061984
                     50,                  1.876,                0.97004,                 0.9917,                0.88638,                0.84031,                0.86693,                0.35327,                 1.9388,                0.89539,                  1.012,              0.0061192,              0.0061192,              0.0061192
                     51,                  1.866,                0.93692,                   0.99,                0.88575,                 0.8291,                0.85505,                0.35166,                 1.9645,                0.92574,                 1.0159,                0.00604,                0.00604,                0.00604
                     52,                 1.8751,                0.94732,                0.98619,                0.90366,                0.84335,                0.86501,                0.35198,                 1.9795,                0.91943,                 1.0195,              0.0059608,              0.0059608,              0.0059608
                     53,                 1.8497,                  0.929,                0.98241,                 0.8964,                0.85982,                0.87117,                0.35308,                 1.9757,                0.88153,                 1.0226,              0.0058816,              0.0058816,              0.0058816
                     54,                 1.8603,                0.92939,                0.98025,                0.88857,                0.85395,                0.86571,                0.34816,                 1.9823,                0.89299,                 1.0252,              0.0058024,              0.0058024,              0.0058024
                     55,                 1.8649,                0.93186,                 0.9976,                0.90439,                0.85237,                0.86467,                0.34298,                      2,                 0.9089,                 1.0288,              0.0057232,              0.0057232,              0.0057232
                     56,                 1.8561,                0.93152,                0.99677,                0.89733,                0.84473,                0.87503,                0.35533,                 1.9826,                0.91121,                 1.0166,               0.005644,               0.005644,               0.005644
                     57,                 1.8338,                0.90795,                0.98557,                0.90582,                0.85878,                0.87645,                0.35928,                 1.9743,                 0.8674,                 1.0259,              0.0055648,              0.0055648,              0.0055648
                     58,                 1.8367,                0.90604,                0.98702,                0.90481,                0.84725,                0.86313,                0.35444,                 1.9744,                0.88666,                 1.0192,              0.0054856,              0.0054856,              0.0054856
                     59,                 1.8402,                0.92336,                0.98089,                0.90989,                0.85467,                0.87207,                0.36484,                 1.9606,                0.88244,                 1.0194,              0.0054064,              0.0054064,              0.0054064
                     60,                 1.8125,                0.89599,                0.98337,                0.90942,                0.85864,                0.87222,                0.35883,                 1.9601,                0.87711,                  1.014,              0.0053272,              0.0053272,              0.0053272
                     61,                 1.8538,                0.90333,                0.99135,                0.92071,                0.86047,                0.88508,                0.37137,                 1.9409,                0.87625,                 1.0113,               0.005248,               0.005248,               0.005248
                     62,                 1.8594,                0.91211,                0.98664,                0.91428,                0.86034,                0.88414,                0.36612,                 1.9758,                0.87339,                 1.0138,              0.0051688,              0.0051688,              0.0051688
                     63,                 1.8416,                0.89613,                0.97668,                 0.9086,                0.85922,                0.87141,                0.36276,                  1.963,                0.87322,                 1.0176,              0.0050896,              0.0050896,              0.0050896
                     64,                 1.8444,                0.90854,                0.99455,                0.90887,                0.85368,                0.86377,                0.36216,                 1.9442,                0.87927,                 1.0094,              0.0050104,              0.0050104,              0.0050104
                     65,                 1.8546,                 0.9119,                0.98454,                0.91855,                0.85305,                0.87887,                 0.3581,                 1.9624,                0.87833,                 1.0141,              0.0049312,              0.0049312,              0.0049312
                     66,                 1.8375,                0.90652,                0.99654,                0.91627,                0.85052,                0.87025,                0.35371,                 1.9972,                 0.8752,                 1.0242,               0.004852,               0.004852,               0.004852
                     67,                 1.8211,                0.89477,                0.99347,                0.89741,                0.85786,                0.86514,                0.35803,                 1.9664,                0.86695,                 1.0177,              0.0047728,              0.0047728,              0.0047728
                     68,                 1.8099,                0.88134,                 0.9783,                0.88742,                0.86447,                0.86807,                0.35832,                 1.9829,                0.86978,                 1.0192,              0.0046936,              0.0046936,              0.0046936
                     69,                 1.8269,                0.88161,                0.98384,                0.90134,                0.85698,                0.87411,                0.35811,                 1.9774,                0.86268,                  1.025,              0.0046144,              0.0046144,              0.0046144
                     70,                 1.7996,                0.86248,                0.97601,                0.90356,                0.86748,                0.88126,                0.36375,                 1.9829,                 0.8594,                 1.0185,              0.0045352,              0.0045352,              0.0045352
                     71,                 1.7986,                0.86472,                0.97684,                0.90857,                0.85834,                0.88059,                0.37257,                  1.948,                0.86432,                 1.0168,               0.004456,               0.004456,               0.004456
                     72,                 1.8074,                0.86351,                0.98726,                0.90542,                0.87481,                0.89482,                0.37318,                 1.9495,                0.85215,                 1.0134,              0.0043768,              0.0043768,              0.0043768
                     73,                 1.8109,                0.87408,                0.98863,                0.90254,                0.86102,                 0.8797,                0.36752,                 1.9263,                0.86429,                 1.0104,              0.0042976,              0.0042976,              0.0042976
                     74,                 1.8089,                0.86278,                0.98644,                0.90106,                0.84415,                 0.8587,                0.35075,                 1.9869,                0.85767,                 1.0269,              0.0042184,              0.0042184,              0.0042184
                     75,                 1.7907,                0.86119,                0.97642,                0.91518,                0.85888,                0.87889,                0.37357,                 1.9585,                0.84262,                 1.0181,              0.0041392,              0.0041392,              0.0041392
                     76,                 1.7852,                 0.8476,                0.96785,                0.89628,                0.86548,                0.87575,                0.37041,                 1.9482,                0.84079,                 1.0198,                0.00406,                0.00406,                0.00406
                     77,                 1.7813,                 0.8457,                 0.9731,                0.89808,                0.86265,                0.86728,                0.35495,                 2.0096,                 0.8666,                 1.0284,              0.0039808,              0.0039808,              0.0039808
